review_id,status,name,code,review_type,target,issue,comparison,first_detected,last_detected,resolved_at,operator_memo,event_id
0015N0-데이터확인,미해결,아로마티카,0015N0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%95%84%EB%A1%9C%EB%A7%88%ED%8B%B0%EC%B9%B4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0aeed2450>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:12:40,2026-08-21 12:42:37,,다음 배치에서 자동 재시도됨,
488900-데이터확인,미해결,비츠로넥스텍,488900,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%B9%84%EC%B8%A0%EB%A1%9C%EB%84%A5%EC%8A%A4%ED%85%8D (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0aa246ab0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:12:10,2026-08-21 12:42:07,,다음 배치에서 자동 재시도됨,
388210-데이터확인,미해결,씨엠티엑스,388210,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%94%A8%EC%97%A0%ED%8B%B0%EC%97%91%EC%8A%A4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d77a510>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-07-10 15:32:54,2026-08-21 12:41:37,,다음 배치에서 자동 재시도됨,
403850-데이터확인,미해결,더핑크퐁컴퍼니,403850,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%8D%94%ED%95%91%ED%81%AC%ED%90%81%EC%BB%B4%ED%8D%BC%EB%8B%88 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d779af0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:11:10,2026-08-21 12:41:07,,다음 배치에서 자동 재시도됨,
0015G0-데이터확인,미해결,그린광학,0015G0,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EA%B7%B8%EB%A6%B0%EA%B4%91%ED%95%99 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb0aeec3680>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:10:39,2026-08-21 12:40:37,,다음 배치에서 자동 재시도됨,
061090-데이터확인,미해결,세나테크놀로지,061090,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%84%B8%EB%82%98%ED%85%8C%ED%81%AC%EB%86%80%EB%A1%9C%EC%A7%80 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d7e62d0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:10:09,2026-08-21 12:40:06,,다음 배치에서 자동 재시도됨,
494120-데이터확인,미해결,큐리오시스,494120,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%ED%81%90%EB%A6%AC%EC%98%A4%EC%8B%9C%EC%8A%A4 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d7e55e0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:09:39,2026-08-21 12:39:36,,다음 배치에서 자동 재시도됨,
469610-데이터확인,미해결,이노테크,469610,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EC%9D%B4%EB%85%B8%ED%85%8C%ED%81%AC (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d7e7fe0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-07-10 20:26:42,2026-08-21 12:39:06,,candidate_tables=0,
486990-데이터확인,미해결,노타,486990,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%85%B8%ED%83%80 (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09dfb2c90>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:08:38,2026-08-21 12:38:35,,다음 배치에서 자동 재시도됨,
317450-데이터확인,미해결,명인제약,317450,데이터 확인,처리오류,"종목 처리 중 오류로 건너뜀: HTTPSConnectionPool(host='apis.data.go.kr', port=443): Max retries exceeded with url: /1160100/GetStocIssuInfoService_V3/getLockUpRetuInfo_V3?serviceKey=<REDACTED>&pageNo=1&numOfRows=100&resultType=json&stckIssuCmpyNm=%EB%AA%85%EC%9D%B8%EC%A0%9C%EC%95%BD (Caused by ConnectTimeoutError(<HTTPSConnection(host='apis.data.go.kr', port=443) at 0x7fb09d7e72c0>, 'Connection to apis.data.go.kr timed out. (connect timeout=30)'))",,2026-08-04 01:08:08,2026-08-21 12:38:04,,다음 배치에서 자동 재시도됨,
